序号,时间,名称
178,"22.01.2024
11:40",数学：新的黄金时代
179,"22.01.2024
08:59",Algebraic geometry
180,"22.01.2024
08:58",Functional Analysis: Second Edition
181,"22.01.2024
08:50",Algebraic Geometry
44,"21.05.2024
08:59",Quand la machine apprend
45,"21.05.2024
07:40",直觉泵和其他思考工具 = Intuition pumps and other tools for thinking
46,"21.05.2024
07:39",创新者的窘境（全新修订版）
47,"21.05.2024
05:36",幸福的方法
48,"21.05.2024
05:36",幸福的方法
49,"21.05.2024
05:24",算法详解 卷1 算法基础
50,"21.05.2024
05:18",Introduction to Probability and Statistics (Metric Version)
78,"21.03.2024
19:51",Numerical Recipes in Fortran 90
79,"21.03.2024
15:08","The Worlds I See: Curiosity, Exploration, and Discovery at the Dawn of AI"
248,"21.03.2024
12:58",The Art of Prompt Engineering with chatGPT: A Hands-On Guide
249,"21.03.2024
07:48",蒋勋说红楼梦 修订版 第3版 套装共8册
250,"21.03.2024
07:46","OpenAI GPT For Python Developers: The art and science of developing intelligent apps with OpenAI GPT-3, DALL·E 2, CLIP, and Whisper. A comprehensive and example-rich guide"
251,"21.03.2024
07:45",Chatgpt Empowers Your Prompt Engineering with AI Tools
252,"21.03.2024
07:45","Advanced Engineering Mathematics, 10th Edition"
253,"21.03.2024
06:35",Probability in Banach Spaces: Isoperimetry and Processes
254,"21.03.2024
06:34",The Generic Chaining: Upper and Lower Bounds for Stochastic Processes
255,"21.03.2024
06:33",Upper and Lower Bounds for Stochastic Processes: Decomposition Theorems
256,"21.03.2024
06:33",Mean Field Models for Spin Glasses: Volume II: Advanced Replica-Symmetry and Low Temperature
257,"21.03.2024
06:33",What Is a Quantum Field Theory? A First Introduction for Mathematicians
182,"21.01.2024
08:05",如何阅读一本书(扫描版)(有目录)
183,"21.01.2024
07:57",随机过程及其应用
184,"21.01.2024
07:52",线性代数入门
185,"21.01.2024
07:13",计算机程序设计艺术（第3卷）: 排序与查找
186,"21.01.2024
07:09","Art of Computer Programming, The: Volume 3: Sorting and Searching"
187,"21.01.2024
07:04","Adaptive Signal Processing: Next Generation Solutions (Adaptive and Learning Systems for Signal Processing, Communications and Control Series)"
188,"21.01.2024
07:03",Spectral Analysis of Signals
189,"21.01.2024
07:01",自适应滤波器原理
190,"21.01.2024
06:57",统计信号处理基础
191,"21.01.2024
06:56",统计信号处理基础--估计与检测理论
51,"20.05.2024
06:57",代码整洁之道
52,"20.05.2024
06:56",从0到1: 开启商业与未来的秘密
53,"20.05.2024
05:37",技术的本质：技术是什么，它是如何进化的（经典版）
54,"20.05.2024
05:37",Quantum Mechanics: The Theoretical Minimum
55,"20.05.2024
05:36",Quantum Mechanics: The Theoretical Minimum
166,"20.04.2024
08:30",Designing Machine Learning Systems: An Iterative Process for Production-Ready Applications
167,"20.04.2024
08:29",Designing Machine Learning Systems: An Iterative Process for Production-Ready Applications (Third Early Release)
80,"20.03.2024
12:09",微分几何
81,"20.03.2024
11:43","Partial Differential Equations (Proceedings of Symposia in Pure Mathematics, vol. 4)"
82,"20.03.2024
11:27",微分几何讲义
83,"20.03.2024
11:27",微分几何入门与广义相对论 3册合集
84,"20.03.2024
11:27",微分几何讲义（修订版）
258,"20.03.2024
11:25",Handbook of differential geometry
259,"20.03.2024
11:25",Handbook of Differential Geometry
260,"20.03.2024
11:24",Geometric mechanics and symmetry: From finite to infinite dimensions
261,"20.03.2024
11:23",Elementary Differential Geometry
85,"20.03.2024
09:36",Communications of the ACM - March 2022
86,"20.03.2024
09:36",Communications of the ACM - June 2021
87,"20.03.2024
09:36",Communications of the ACM - April 2022
262,"20.03.2024
09:30",Communications of the ACM - September 2019 (magazine)
263,"20.03.2024
09:28",Communications of the ACM - January 2020
264,"20.03.2024
09:28",人工智能中的深度结构学习
265,"20.03.2024
09:27",Handbook on Neural Information Processing
266,"20.03.2024
09:26",Communications of the ACM - June 2019
267,"20.03.2024
09:25",科学之路-Yann LeCun自传
88,"20.03.2024
07:56",有限元分析基础教程 Fundamentals of Finite Element Analysis
89,"20.03.2024
07:56",基于ANSYS平台有限元分析手册结构的建模的分析
56,"19.05.2024
15:32",Learn You a Haskell for Great Good!: A Beginner's Guide
57,"19.05.2024
12:53",Introduction to Data Science: Data Analysis and Prediction Algorithms with R
58,"19.05.2024
12:49",Introduction to Data Science-Data Analysis and Prediction Algorithms with R
59,"19.05.2024
12:49",Data Analysis for the Life Sciences
268,"19.03.2024
09:43",Sparse and Redundant Representations: From Theory to Applications in Signal and Image Processing
269,"19.03.2024
09:23",现代信号分析和处理
270,"19.03.2024
09:18",Beyond the Worst-Case Analysis of Algorithms
271,"19.03.2024
08:47",Compressed sensing and its applications: 2 MATHEON conf. 2015
272,"19.03.2024
08:47",Compressive sensing of earth observations
273,"19.03.2024
08:47","New Trends in Applied Harmonic Analysis: Sparse Representations, Compressed Sensing, and Multifractal Analysis"
274,"19.03.2024
08:47",Compressed sensing for engineers
275,"19.03.2024
08:47",Compressed sensing in radar signal processing
276,"19.03.2024
08:46",Compressed Sensing : Theory and Applications
277,"19.03.2024
08:46",A Mathematical Introduction to Compressive Sensing
139,"19.02.2024
16:10",精通Rust(第2版)
140,"19.02.2024
16:09",Modern Fortran Explained
141,"19.02.2024
16:09",Learning Julia: Build high-performance applications for scientific computing
142,"19.02.2024
16:09","Getting Started with Julia Programming: Enter the exciting world of Julia, a high-performance language for technical computing"
143,"19.02.2024
16:09",Data Science with Julia
192,"19.01.2024
11:23","The Art of Computer Programming, Volume 4A: Combinatorial Algorithms, Part 1"
193,"19.01.2024
11:12",The Art of Computer Programming Vol. 4B Combinatorial Algorithms Part 2
194,"19.01.2024
09:48",Noise: A Flaw in Human Judgment
195,"19.01.2024
09:48",Noise: A Flaw in Human Judgment
196,"19.01.2024
09:47","Thinking, Fast and Slow"
197,"19.01.2024
09:47","Thinking, Fast and Slow"
198,"19.01.2024
09:28",句法结构
199,"19.01.2024
09:27",乔姆斯基语言学文集
200,"19.01.2024
09:15",On Nature and Language
90,"18.03.2024
14:12","The Strangest Man: The Hidden Life of Paul Dirac, Mystic of the Atom"
91,"18.03.2024
11:55",物理学的方向
92,"18.03.2024
11:54",Paul Dirac. The Man and His Work
93,"18.03.2024
11:54","The Strangest Man: The Hidden Life of Paul Dirac, Quantum Genius"
295,"18.02.2024
05:45",C++ Primer
296,"18.02.2024
05:45",C Primer Plus（第6版）中文版
297,"18.02.2024
05:42",Modern Fortran: Building Efficient Parallel Applications
298,"18.02.2024
05:41","Gnuplot in Action, 2nd Edition: Understanding data with graphs"
299,"18.02.2024
05:40",Beginning Julia Programming for Engineers and Scientists
300,"18.02.2024
05:38",The Rust Programming Language (Covers Rust 2018)
301,"18.02.2024
05:38",具体数学
302,"18.02.2024
05:35",Concrete mathematics: a foundation for computer science
60,"17.05.2024
03:54",如何学习
61,"17.05.2024
03:53","思考，快与慢 = Thinking, Fast and Slow"
168,"17.04.2024
12:44",Introduction to Robotics Mechanics and Control 3rd edition
169,"17.04.2024
12:43",机器人学导论（原书第4版）
170,"17.04.2024
12:24",机器人动力学与控制
171,"17.04.2024
05:45",Nonlinear Programming: An Introduction
172,"17.04.2024
05:44",Systematic programming: an introduction
278,"17.03.2024
14:33",Deep Learning With Pytorch
279,"17.03.2024
14:33","Deep Learning for Time Series Forecasting - Predict the Future with MLPs, CNNs and LSTMs in Python"
280,"17.03.2024
14:33",TensorFlow深度学习 = Deep learning with TensorFlow
281,"17.03.2024
14:33",Advances in Deep Learning
282,"17.03.2024
14:33","Deep Learning with Python, 2nd Edition (Final Release)"
283,"17.03.2024
11:44",Dynamic Mode Decomposition: Data-Driven Modeling of Complex Systems
284,"17.03.2024
11:44","Data-Driven Science and Engineering: Machine Learning, Dynamical Systems, and Control 2nd Edition, Kindle Edition"
